timestamp_ns,dt,raw_baro_alt,gps_alt,ekf_alt,ekf_vel_z,pid_target,pid_out_throttle
1782738220063347968,0.000125,-0.678553,-0.678553,-0.242535,-0,100,0.5
1782738220063472896,0.000125,-0.678553,-0.678553,-0.357345,-0.000587445,100,0.84
1782738220063597824,0.000125,-0.678553,-0.678553,-0.424294,-0.00112453,100,0.84
1782738220063722752,0.000125,-0.678553,-0.678553,-0.468149,-0.00164512,100,0.84
1782738220063847680,0.000125,-0.678553,-0.678553,-0.499101,-0.00215817,100,0.84
1782738220063972608,0.000125,-0.678553,-0.678553,-0.522115,-0.00266708,100,0.84
1782738220064097536,0.000125,-0.678553,-0.678553,-0.539896,-0.00317343,100,0.84
1782738220064222464,0.000125,-0.678553,-0.678553,-0.554048,-0.00367804,100,0.84
1782738220064347392,0.000125,-0.678553,-0.678553,-0.565579,-0.00418138,100,0.84
1782738220064472320,0.000125,-0.678553,-0.678553,-0.575155,-0.00468374,100,0.84
1782738220064597248,0.000125,-0.678553,-0.678553,-0.583235,-0.00518531,100,0.84
1782738220064722176,0.000125,-0.678553,-0.678553,-0.590144,-0.00568619,100,0.84
1782738220064847104,0.000125,-0.678553,-0.678553,-0.596118,-0.00618647,100,0.84
1782738220064972032,0.000125,-0.678553,-0.678553,-0.601337,-0.0066862,100,0.84
1782738220065096960,0.000125,-0.678553,-0.678553,-0.605934,-0.00718541,100,0.84
1782738220065221888,0.000125,-0.678553,-0.678553,-0.610015,-0.00768412,100,0.84
1782738220065346816,0.000125,-0.678553,-0.678553,-0.613661,-0.00818235,100,0.84
1782738220065471744,0.000125,-0.678553,-0.678553,-0.616939,-0.00868011,100,0.84
1782738220065596672,0.000125,-0.678553,-0.678553,-0.619902,-0.00917738,100,0.84
1782738220065721600,0.000125,-0.678553,-0.678553,-0.622594,-0.00967418,100,0.84
1782738220065846528,0.000125,-0.678553,-0.678553,-0.625049,-0.0101705,100,0.84
1782738220065971456,0.000125,-0.678553,-0.678553,-0.627298,-0.0106663,100,0.84
1782738220066096384,0.000125,-0.678553,-0.678553,-0.629365,-0.0111617,100,0.84
1782738220066221312,0.000125,-0.678553,-0.678553,-0.631272,-0.0116565,100,0.84
1782738220066346240,0.000125,-0.678553,-0.678553,-0.633038,-0.0121508,100,0.84
1782738220066471168,0.000125,0,0,-0.633039,-0.0131497,100,0.84
1782738220066596096,0.000125,0,0,-0.633041,-0.0141485,100,0.84
1782738220066721024,0.000125,0,0,-0.633043,-0.0151472,100,0.84
1782738220066845952,0.000125,0,0,-0.633045,-0.0161458,100,0.84
1782738220066970880,0.000125,0,0,-0.633047,-0.0171444,100,0.84
1782738220067095808,0.000125,0,0,-0.633049,-0.0181429,100,0.84
1782738220067220736,0.000125,0,0,-0.633051,-0.0191413,100,0.84
1782738220067345664,0.000125,0,0,-0.633054,-0.0201397,100,0.84
1782738220067470592,0.000125,0,0,-0.633056,-0.0211379,100,0.84
1782738220067595520,0.000125,0,0,-0.633059,-0.0221361,100,0.84
1782738220067720448,0.000125,0,0,-0.633062,-0.0231342,100,0.84
1782738220067845376,0.000125,0,0,-0.633065,-0.0241322,100,0.84
1782738220067970304,0.000125,0,0,-0.633068,-0.0251302,100,0.84
1782738220068095232,0.000125,0,0,-0.633071,-0.0261281,100,0.84
1782738220068220160,0.000125,0,0,-0.633074,-0.0271259,100,0.84
1782738220068345088,0.000125,0,0,-0.633078,-0.0281236,100,0.84
1782738220068470016,0.000125,0,0,-0.633081,-0.0291212,100,0.84
1782738220068594944,0.000125,0,0,-0.633085,-0.0301188,100,0.84
1782738220068719872,0.000125,0,0,-0.633089,-0.0311163,100,0.84
1782738220068844800,0.000125,0,0,-0.633093,-0.0321137,100,0.84
1782738220068969728,0.000125,0,0,-0.633097,-0.0331111,100,0.84
1782738220069094656,0.000125,0,0,-0.633101,-0.0341083,100,0.84
1782738220069219584,0.000125,0,0,-0.633105,-0.0351055,100,0.84
1782738220069344512,0.000125,0,0,-0.63311,-0.0361026,100,0.84
1782738220069469440,0.000125,0,0,-0.633114,-0.0370996,100,0.84
1782738220069594368,0.000125,0,0,-0.633119,-0.0380966,100,0.84
1782738220069719296,0.000125,0,0,-0.633124,-0.0390935,100,0.84
1782738220069844224,0.000125,0,0,-0.633129,-0.0400903,100,0.84
1782738220069969152,0.000125,0,0,-0.633134,-0.041087,100,0.84
1782738220070094080,0.000125,0,0,-0.633139,-0.0420836,100,0.84
1782738220070219008,0.000125,0,0,-0.633144,-0.0430802,100,0.84
1782738220070343936,0.000125,0,0,-0.63315,-0.0440767,100,0.84
1782738220070468864,0.000125,0,0,-0.633155,-0.0450731,100,0.84
1782738220070593792,0.000125,0,0,-0.633161,-0.0460694,100,0.84
1782738220070718720,0.000125,0,0,-0.633167,-0.0470657,100,0.84
1782738220070843648,0.000125,0,0,-0.633173,-0.0480618,100,0.84
1782738220070968576,0.000125,0,0,-0.633179,-0.0490579,100,0.84
1782738220071093504,0.000125,0,0,-0.633185,-0.0500539,100,0.84
1782738220071218432,0.000125,0,0,-0.633192,-0.0510499,100,0.84
1782738220071343360,0.000125,0,0,-0.633198,-0.0520457,100,0.84
1782738220071468288,0.000125,0,0,-0.633205,-0.0530415,100,0.84
1782738220071593216,0.000125,0,0,-0.633211,-0.0540372,100,0.84
1782738220071718144,0.000125,0,0,-0.633218,-0.0550329,100,0.84
1782738220071843072,0.000125,0,0,-0.633225,-0.0560284,100,0.84
1782738220071968000,0.000125,0,0,-0.633232,-0.0570239,100,0.84
1782738220072092928,0.000125,0,0,-0.633239,-0.0580193,100,0.84
1782738220072217856,0.000125,0,0,-0.633246,-0.0590146,100,0.84
1782738220072342784,0.000125,0,0,-0.633254,-0.0600099,100,0.84
1782738220072467712,0.000125,0,0,-0.633262,-0.061005,100,0.84
1782738220072592640,0.000125,0,0,-0.633269,-0.0620001,100,0.84
1782738220072717568,0.000125,0,0,-0.633277,-0.0629951,100,0.84
1782738220072842496,0.000125,0,0,-0.633285,-0.06399,100,0.84
1782738220072967424,0.000125,0,0,-0.633293,-0.0649849,100,0.84
1782738220073092352,0.000125,0,0,-0.633301,-0.0659797,100,0.84
1782738220073217280,0.000125,0,0,-0.633309,-0.0669743,100,0.84
1782738220073342208,0.000125,0,0,-0.633318,-0.067969,100,0.84
1782738220073467136,0.000125,0,0,-0.633326,-0.0689635,100,0.84
1782738220073592064,0.000125,0,0,-0.633335,-0.069958,100,0.84
1782738220073716992,0.000125,0,0,-0.633344,-0.0709523,100,0.84
1782738220073841920,0.000125,0,0,-0.633353,-0.0719466,100,0.84
1782738220073966848,0.000125,0,0,-0.633362,-0.0729409,100,0.84
1782738220074091776,0.000125,0,0,-0.633371,-0.073935,100,0.84
1782738220074216704,0.000125,0,0,-0.63338,-0.0749291,100,0.84
1782738220074341632,0.000125,0,0,-0.63339,-0.0759231,100,0.84
1782738220074466560,0.000125,0,0,-0.633399,-0.076917,100,0.84
1782738220074591488,0.000125,0,0,-0.633409,-0.0779108,100,0.84
1782738220074716416,0.000125,0,0,-0.633419,-0.0789046,100,0.84
1782738220074841344,0.000125,0,0,-0.633429,-0.0798982,100,0.84
1782738220074966272,0.000125,0,0,-0.633439,-0.0808918,100,0.84
1782738220075091200,0.000125,0,0,-0.633449,-0.0818854,100,0.84
1782738220075216128,0.000125,0,0,-0.633459,-0.0828788,100,0.84
1782738220075341056,0.000125,0,0,-0.63347,-0.0838722,100,0.84
1782738220075465984,0.000125,0,0,-0.63348,-0.0848654,100,0.84
1782738220075590912,0.000125,0,0,-0.633491,-0.0858586,100,0.84
1782738220075715840,0.000125,0,0,-0.633502,-0.0868518,100,0.84
1782738220075840768,0.000125,0,0,-0.633513,-0.0878448,100,0.84
1782738220075965696,0.000125,-0.678553,-0.678553,-0.635105,-0.084989,100,0.84
1782738220076090624,0.000125,-0.678553,-0.678553,-0.636589,-0.082406,100,0.84
1782738220076215552,0.000125,-0.678553,-0.678553,-0.637975,-0.0800635,100,0.84
1782738220076340480,0.000125,-0.678553,-0.678553,-0.639273,-0.077934,100,0.84
1782738220076465408,0.000125,-0.678553,-0.678553,-0.640491,-0.0759941,100,0.84
1782738220076590336,0.000125,-0.678553,-0.678553,-0.641636,-0.0742238,100,0.84
1782738220076715264,0.000125,-0.678553,-0.678553,-0.642714,-0.0726055,100,0.84
1782738220076840192,0.000125,-0.678553,-0.678553,-0.643731,-0.0711205,100,0.84
1782738220076965120,0.000125,-0.678553,-0.678553,-0.644692,-0.0697393,100,0.84
1782738220077090048,0.000125,-0.678552,-0.678552,-0.645602,-0.0684429,100,0.84
1782738220077214976,0.000125,-0.678551,-0.678551,-0.646464,-0.0672212,100,0.84
1782738220077339904,0.000125,-0.678549,-0.678549,-0.647281,-0.0660621,100,0.84
1782738220077464832,0.000125,-0.678545,-0.678545,-0.648058,-0.0649471,100,0.84
1782738220077589760,0.000125,-0.678541,-0.678541,-0.648796,-0.0638758,100,0.84
1782738220077714688,0.000125,-0.678537,-0.678537,-0.6495,-0.0628411,100,0.84
1782738220077839616,0.000125,-0.678531,-0.678531,-0.65017,-0.061837,100,0.84
1782738220077964544,0.000125,-0.678524,-0.678524,-0.65081,-0.0608585,100,0.84
1782738220078089472,0.000125,-0.678516,-0.678516,-0.651421,-0.0599014,100,0.84
1782738220078214400,0.000125,-0.678502,-0.678502,-0.652005,-0.0589416,100,0.84
1782738220078339328,0.000125,-0.678491,-0.678491,-0.652563,-0.0579968,100,0.84
1782738220078464256,0.000125,-0.678478,-0.678478,-0.653098,-0.0570646,100,0.84
1782738220078589184,0.000125,-0.678462,-0.678462,-0.653611,-0.0561323,100,0.84
1782738220078714112,0.000125,-0.67844,-0.67844,-0.654102,-0.0551878,100,0.84
