idx,sim_ts_ns,wall_us,read_us,interarrival_us,jitter_us,sim_dt_us
0,1782475481154588300,1346.5,0.4,0,0,1125
1,1782475481155588300,2248.8,0.5,902.3,652.3,1000
2,1782475481156338300,3006.8,0.5,758,508,750
3,1782475481156713300,3681.6,0.3,674.8,424.8,375
4,1782475481156963300,32207.2,0.2,28525.6,28275.6,250
5,1782475481157588300,32942.4,0.4,735.2,485.2,625
6,1782475481158338300,33628.9,1.1,686.5,436.5,750
7,1782475481158963300,34274,0.5,645.1,395.1,625
8,1782475481159588300,34936.7,0.4,662.7,412.7,625
9,1782475481160338300,35636.3,0.5,699.6,449.6,750
10,1782475481160963300,36286,0.5,649.7,399.7,625
11,1782475481161713300,36991.9,1.4,705.9,455.9,750
12,1782475481162463300,37739.6,0.6,747.7,497.7,750
13,1782475481163213300,38478.6,1,739,489,750
14,1782475481164213300,39573.9,2.8,1095.3,845.3,1000
15,1782475481165213300,40587.6,0.7,1013.7,763.7,1000
16,1782475481166088300,41489.8,0.6,902.2,652.2,875
17,1782475481166838300,42237.3,0.4,747.5,497.5,750
18,1782475481167713300,43121.7,0.5,884.4,634.4,875
19,1782475481168463300,43902.8,0.7,781.1,531.1,750
20,1782475481169213300,44584.3,0.4,681.5,431.5,750
21,1782475481169838300,45258.1,0.5,673.8,423.8,625
22,1782475481170588300,45968.8,0.7,710.7,460.7,750
23,1782475481171213300,46671.7,0.5,702.9,452.9,625
24,1782475481171963300,47417.9,0.4,746.2,496.2,750
25,1782475481172713300,48166.9,0.5,749,499,750
26,1782475481173463300,48879.2,0.5,712.3,462.3,750
27,1782475481174213300,49568.5,0.3,689.3,439.3,750
28,1782475481174838300,50235.2,0.4,666.7,416.7,625
29,1782475481175463300,50887.3,0.4,652.1,402.1,625
30,1782475481176088300,51554.1,0.5,666.8,416.8,625
31,1782475481176838300,52300.1,0.4,746,496,750
32,1782475481177588300,53054.4,0.6,754.3,504.3,750
33,1782475481178463300,53889,0.8,834.6,584.6,875
34,1782475481179213300,54584.2,0.3,695.2,445.2,750
35,1782475481179963300,55504.6,0.9,920.4,670.4,750
36,1782475481180963300,56506.6,0.8,1002,752,1000
37,1782475481182213300,57669.1,2.7,1162.5,912.5,1250
38,1782475481183338300,58821,4.2,1151.9,901.9,1125
39,1782475481184338300,59876.7,1.3,1055.7,805.7,1000
40,1782475481185338300,60819,0.6,942.3,692.3,1000
41,1782475481185963300,61523.3,0.6,704.3,454.3,625
42,1782475481186713300,62222.7,0.6,699.4,449.4,750
43,1782475481187463300,62921.9,0.6,699.2,449.2,750
44,1782475481188088300,63589,0.4,667.1,417.1,625
45,1782475481188838300,64312.1,0.6,723.1,473.1,750
46,1782475481189463300,65007.5,0.3,695.4,445.4,625
47,1782475481190213300,65685.3,0.5,677.8,427.8,750
48,1782475481190838300,66326.9,0.5,641.6,391.6,625
49,1782475481191463300,66988.3,0.4,661.4,411.4,625
50,1782475481192213300,67707.3,0.4,719,469,750
51,1782475481192963300,68490.1,0.7,782.8,532.8,750
