idx,sim_ts_ns,wall_us,read_us,interarrival_us,jitter_us,sim_dt_us
0,1782476961858338300,1148.9,1329.9,0,0,0
1,1782476961860463300,3369.7,0.9,2220.8,1220.8,2125
2,1782476961861463300,4369.7,0.5,1000,0,1000
3,1782476961862463300,5369.7,0.4,1000,0,1000
4,1782476961862588300,33369.7,2,28000,0,125
5,1782476961863588300,34369.7,0.7,1000,0,1000
6,1782476961864588300,35369.7,0.6,1000,0,1000
7,1782476961865588300,36369.7,0.7,1000,0,1000
8,1782476961866588300,37369.7,0.6,1000,0,1000
9,1782476961867588300,38369.7,0.7,1000,0,1000
10,1782476961868588300,39369.7,0.5,1000,0,1000
11,1782476961869588300,40369.7,1.7,1000,0,1000
12,1782476961870588300,41369.7,0.5,1000,0,1000
13,1782476961871588300,42369.7,0.7,1000,0,1000
14,1782476961872588300,43369.7,0.5,1000,0,1000
15,1782476961873588300,44369.7,0.8,1000,0,1000
16,1782476961874588300,45369.7,0.7,1000,0,1000
17,1782476961875588300,46369.7,1.2,1000,0,1000
18,1782476961876588300,47369.7,0.8,1000,0,1000
19,1782476961877588300,48369.7,1.1,1000,0,1000
20,1782476961878588300,49369.7,0.5,1000,0,1000
21,1782476961879588300,50369.7,1,1000,0,1000
22,1782476961880588300,51369.7,3.5,1000,0,1000
23,1782476961881588300,52369.7,0.5,1000,0,1000
24,1782476961882588300,53369.7,0.5,1000,0,1000
25,1782476961883588300,54369.7,0.7,1000,0,1000
26,1782476961884588300,55369.7,0.9,1000,0,1000
27,1782476961885588300,56369.7,1.1,1000,0,1000
28,1782476961886588300,57369.7,1.4,1000,0,1000
29,1782476961887588300,58369.7,0.6,1000,0,1000
30,1782476961888463300,59369.7,0.5,1000,0,875
31,1782476961889463300,60369.7,1,1000,0,1000
32,1782476961890463300,61369.7,0.8,1000,0,1000
33,1782476961891463300,62369.7,1,1000,0,1000
34,1782476961892463300,63369.7,0.6,1000,0,1000
35,1782476961893463300,64369.7,0.6,1000,0,1000
36,1782476961894463300,65369.7,0.6,1000,0,1000
37,1782476961895463300,66369.7,0.8,1000,0,1000
38,1782476961896463300,67369.7,0.5,1000,0,1000
39,1782476961897463300,68369.7,0.4,1000,0,1000
40,1782476961898463300,69369.7,0.6,1000,0,1000
41,1782476961899463300,70369.7,0.5,1000,0,1000
42,1782476961900463300,71369.7,1,1000,0,1000
43,1782476961901463300,72369.7,0.8,1000,0,1000
44,1782476961902463300,73369.7,0.8,1000,0,1000
45,1782476961903463300,74369.7,2.1,1000,0,1000
46,1782476961904463300,75369.7,1.3,1000,0,1000
47,1782476961905838300,76766.1,1.7,1396.4,396.4,1375
48,1782476961906838300,77694.9,0.5,928.8,325.2,1000
49,1782476961907588300,78507.7,1.4,812.8,138,750
50,1782476961908463300,79369.7,0.6,862,0,875
51,1782476961909463300,80369.7,0.5,1000,0,1000
52,1782476961910463300,81369.7,1,1000,0,1000
53,1782476961911463300,82369.7,0.9,1000,0,1000
54,1782476961912463300,83369.7,0.5,1000,0,1000
55,1782476961913463300,84369.7,0.6,1000,0,1000
56,1782476961914463300,85369.7,0.5,1000,0,1000
57,1782476961915463300,86369.7,1,1000,0,1000
58,1782476961916463300,87369.7,0.7,1000,0,1000
59,1782476961917463300,88369.7,0.5,1000,0,1000
60,1782476961918463300,89369.7,1.2,1000,0,1000
61,1782476961919463300,90369.7,0.4,1000,0,1000
62,1782476961920588300,91608.8,1.6,1239.1,239.1,1125
63,1782476961921588300,92529,0.6,920.2,159.3,1000
64,1782476961922338300,93369.7,0.4,840.7,0,750
65,1782476961923338300,94369.7,0.6,1000,0,1000
66,1782476961924338300,95369.7,0.5,1000,0,1000
67,1782476961925338300,96369.7,0.7,1000,0,1000
68,1782476961926338300,97369.7,0.6,1000,0,1000
69,1782476961927338300,98369.7,0.5,1000,0,1000
70,1782476961928338300,99369.7,0.5,1000,0,1000
71,1782476961929338300,100370,0.9,1000,0,1000
72,1782476961930338300,101370,0.6,1000,0,1000
73,1782476961931338300,102370,0.6,1000,0,1000
74,1782476961932338300,103370,0.5,1000,0,1000
75,1782476961933338300,104370,2.9,1000,0,1000
76,1782476961934338300,105370,0.6,1000,0,1000
77,1782476961935338300,106370,0.7,1000,0,1000
78,1782476961936213300,107370,0.5,1000,0,875
79,1782476961937213300,108370,0.6,1000,0,1000
80,1782476961938213300,109370,0.9,1000,0,1000
81,1782476961939213300,110370,0.5,1000,0,1000
82,1782476961940213300,111370,0.4,1000,0,1000
83,1782476961941213300,112370,0.8,1000,0,1000
84,1782476961942213300,113370,0.6,1000,0,1000
85,1782476961943213300,114370,1.1,1000,0,1000
86,1782476961944213300,115370,0.7,1000,0,1000
87,1782476961945213300,116370,0.4,1000,0,1000
88,1782476961946213300,117370,0.6,1000,0,1000
89,1782476961947213300,118370,0.5,1000.1,0.1,1000
90,1782476961948213300,119370,0.6,999.9,0,1000
91,1782476961949213300,120370,0.6,1000,0,1000
92,1782476961950213300,121370,0.5,1000,0,1000
93,1782476961951338300,122632,2,1262.7,262.7,1125
94,1782476961952338300,123628,0.5,995.2,257.9,1000
95,1782476961953213300,124560,3.8,932.7,190.6,875
96,1782476961954213300,125505,0.9,944.4,135,1000
97,1782476961955088300,126370,0.4,865,0,875
98,1782476961956088300,127370,1.9,1000,0,1000
99,1782476961957088300,128370,0.9,1000,0,1000
100,1782476961958088300,129370,0.6,1000,0,1000
101,1782476961959088300,130370,0.9,1000,0,1000
102,1782476961959963300,131370,0.6,1000,0,875
103,1782476961960963300,132370,1.1,1000,0,1000
104,1782476961961963300,133370,0.5,1000,0,1000
105,1782476961962463300,134370,0.7,1000,0,500
106,1782476961963088300,162370,1.6,28000,0,625
107,1782476961964088300,163370,0.5,1000,0,1000
108,1782476961965088300,164370,0.6,1000,0,1000
109,1782476961966088300,165429,0.9,1058.9,58.9,1000
110,1782476961967088300,166370,0.5,941.1,0,1000
111,1782476961968088300,167370,1.2,1000,0,1000
112,1782476961969088300,168370,0.5,1000,0,1000
113,1782476961969963300,169370,0.9,1000,0,875
114,1782476961970963300,170370,1.2,1000.7,0.7,1000
115,1782476961971963300,171370,0.6,999.3,0,1000
116,1782476961972963300,172370,1,1000,0,1000
117,1782476961973963300,173370,1,1000,0,1000
118,1782476961974963300,174370,0.6,1000,0,1000
119,1782476961975963300,175370,0.5,1000,0,1000
120,1782476961976963300,176370,0.6,1000,0,1000
121,1782476961977963300,177370,0.5,1000,0,1000
122,1782476961978963300,178370,0.6,1000,0,1000
123,1782476961979963300,179370,0.5,1000,0,1000
124,1782476961980963300,180370,1.1,1000,0,1000
125,1782476961981963300,181370,0.4,1000,0,1000
126,1782476961982963300,182370,0.7,1000,0,1000
127,1782476961983963300,183370,0.7,1000,0,1000
128,1782476961984963300,184370,0.6,1000,0,1000
129,1782476961985963300,185370,1,1000,0,1000
130,1782476961986963300,186370,0.9,1000,0,1000
131,1782476961987963300,187370,0.6,1000,0,1000
132,1782476961988963300,188370,0.7,1000,0,1000
133,1782476961989963300,189370,0.9,1000,0,1000
134,1782476961990838300,190370,0.8,1000,0,875
135,1782476961991963300,191404,0.7,1034.4,34.4,1125
136,1782476961992838300,192370,0.6,965.6,0,875
137,1782476961993838300,193370,0.6,1000,0,1000
138,1782476961994838300,194370,0.6,1000,0,1000
139,1782476961995838300,195370,1,1000,0,1000
140,1782476961996838300,196370,0.9,1000,0,1000
141,1782476961997838300,197370,0.5,1000,0,1000
142,1782476961998838300,198370,0.5,1000,0,1000
143,1782476961999838300,199370,0.5,1000,0,1000
144,1782476962000838300,200370,1.3,1000,0,1000
145,1782476962001838300,201407,0.9,1037,37,1000
146,1782476962002838300,202370,0.5,963,0,1000
147,1782476962003838300,203370,0.5,1000,0,1000
148,1782476962004838300,204370,0.5,1000,0,1000
149,1782476962005838300,205370,0.7,1000,0,1000
150,1782476962006838300,206370,0.4,1000,0,1000
151,1782476962007838300,207370,0.7,1000,0,1000
152,1782476962008838300,208370,0.6,1000,0,1000
153,1782476962009838300,209370,1.1,1000,0,1000
154,1782476962010838300,210370,0.7,1000,0,1000
155,1782476962011838300,211370,0.9,1000,0,1000
156,1782476962012838300,212370,0.5,1000,0,1000
157,1782476962013838300,213370,0.5,1000,0,1000
158,1782476962014838300,214370,0.5,1000,0,1000
159,1782476962015838300,215370,0.5,1000,0,1000
160,1782476962016713300,216370,0.6,1000,0,875
161,1782476962017713300,217370,0.6,1000,0,1000
162,1782476962018713300,218370,0.6,1000,0,1000
163,1782476962019713300,219370,0.8,1000,0,1000
164,1782476962020713300,220370,0.6,1000,0,1000
165,1782476962021713300,221370,1.3,1000,0,1000
166,1782476962022713300,222370,0.6,1000,0,1000
167,1782476962023713300,223370,0.6,1000,0,1000
168,1782476962024713300,224370,0.5,1000,0,1000
169,1782476962025713300,225370,0.7,1000,0,1000
170,1782476962026713300,226370,0.8,1000,0,1000
171,1782476962027713300,227370,0.5,1000,0,1000
172,1782476962028713300,228370,0.5,1000,0,1000
173,1782476962029713300,229370,0.6,1000,0,1000
174,1782476962030713300,230370,0.8,1000,0,1000
175,1782476962031713300,231370,1.4,1000,0,1000
176,1782476962032713300,232370,0.5,1000,0,1000
177,1782476962033713300,233370,2,1000,0,1000
178,1782476962034713300,234370,0.7,1000,0,1000
179,1782476962035713300,235370,0.6,1000,0,1000
180,1782476962036713300,236370,0.6,1000,0,1000
181,1782476962037713300,237370,0.5,1000,0,1000
182,1782476962038713300,238370,0.5,1000,0,1000
183,1782476962039713300,239370,0.5,1000,0,1000
184,1782476962040713300,240370,0.7,1000,0,1000
185,1782476962041713300,241370,0.7,1000,0,1000
186,1782476962042713300,242370,0.4,1000,0,1000
187,1782476962043713300,243370,0.7,1000,0,1000
188,1782476962044713300,244370,0.5,1000,0,1000
189,1782476962045713300,245370,6.5,1000,0,1000
190,1782476962046713300,246370,0.5,1000,0,1000
191,1782476962047588300,247370,1.2,1000,0,875
192,1782476962048588300,248370,2,1000,0,1000
193,1782476962049588300,249370,0.5,1000,0,1000
194,1782476962050588300,250370,0.7,1000.1,0.1,1000
195,1782476962051588300,251370,0.9,999.9,0,1000
196,1782476962052588300,252370,0.7,1000,0,1000
197,1782476962053463300,253370,3.4,1000,0,875
198,1782476962054463300,254370,1.9,1000,0,1000
199,1782476962055463300,255370,3.8,1000,0,1000
200,1782476962056463300,256370,1.1,1000,0,1000
201,1782476962057713300,257619,0.8,1249.7,249.7,1250
202,1782476962058588300,258470,0.7,851,100.7,875
203,1782476962059463300,259370,2.2,899.3,0,875
204,1782476962060463300,260370,0.8,1000,0,1000
205,1782476962061463300,261370,1.7,1000,0,1000
206,1782476962062463300,262370,0.9,1000,0,1000
207,1782476962062588300,263370,0.5,1000,0,125
208,1782476962063463300,296370,1.6,33000,0,875
209,1782476962064713300,297627,1.1,1257.2,257.2,1250
210,1782476962065713300,298582,0.9,954.7,211.9,1000
211,1782476962066463300,299370,0.6,788.1,0,750
212,1782476962067463300,300370,0.7,1000,0,1000
213,1782476962068463300,301370,1.3,1000,0,1000
214,1782476962069463300,302370,0.6,1000,0,1000
215,1782476962070463300,303370,0.6,1000,0,1000
216,1782476962071463300,304370,1.3,1000,0,1000
217,1782476962072463300,305370,0.8,1000,0,1000
218,1782476962073463300,306370,0.8,1000,0,1000
219,1782476962074463300,307379,0.7,1009.2,9.2,1000
220,1782476962075463300,308370,3.4,990.8,0,1000
221,1782476962076588300,309591,1.8,1221.1,221.1,1125
222,1782476962077588300,310638,0.7,1047.4,268.5,1000
223,1782476962078463300,311582,0.6,943.6,212.1,875
224,1782476962079338300,312370,0.5,787.9,0,875
225,1782476962080338300,313370,1,1000,0,1000
226,1782476962081338300,314370,1.5,1000,0,1000
227,1782476962082338300,315373,0.5,1003.6,3.6,1000
228,1782476962083338300,316370,0.7,996.4,0,1000
229,1782476962084338300,317370,0.8,1000,0,1000
230,1782476962085338300,318370,0.6,1000,0,1000
231,1782476962086338300,319370,1,1000,0,1000
232,1782476962087338300,320370,0.5,1000,0,1000
233,1782476962088338300,321370,0.6,1000,0,1000
234,1782476962089213300,322370,0.8,1000,0,875
235,1782476962090338300,323434,0.8,1064.4,64.4,1125
236,1782476962091463300,324719,10.1,1284.8,349.2,1125
237,1782476962092588300,325857,0.8,1138.1,487.3,1125
238,1782476962093463300,326680,0.5,822.6,309.9,875
239,1782476962094213300,327459,0.4,779.3,89.2,750
240,1782476962095088300,328370,0.7,910.8,0,875
241,1782476962096088300,329370,1,1000,0,1000
242,1782476962097088300,330370,0.7,1000,0,1000
243,1782476962098088300,331370,0.7,1000,0,1000
244,1782476962099088300,332370,0.5,1000,0,1000
245,1782476962100088300,333370,0.5,1000,0,1000
246,1782476962101088300,334370,1.3,1000,0,1000
247,1782476962102088300,335370,0.5,1000,0,1000
248,1782476962103088300,336370,1.6,1000,0,1000
249,1782476962104088300,337370,0.5,1000,0,1000
250,1782476962105088300,338370,1,1000,0,1000
251,1782476962106088300,339402,1.4,1032.1,32.1,1000
252,1782476962107213300,340638,1.2,1235.9,268,1125
253,1782476962108338300,341693,0.7,1055,323,1125
254,1782476962109213300,342674,0.7,981,304,875
255,1782476962110088300,343488,0.5,813.8,117.8,875
256,1782476962110963300,344370,0.5,882.2,0,875
257,1782476962111963300,345370,0.7,1000,0,1000
258,1782476962112963300,346370,2.8,1000,0,1000
259,1782476962113963300,347370,0.7,1000,0,1000
260,1782476962114963300,348370,0.5,1000,0,1000
261,1782476962115963300,349370,0.6,1000,0,1000
262,1782476962116963300,350370,0.4,1000,0,1000
263,1782476962117963300,351370,0.5,1000,0,1000
264,1782476962118963300,352372,0.7,1002,2,1000
265,1782476962119963300,353400,0.6,1028.2,30.2,1000
266,1782476962120963300,354419,0.5,1019.3,49.5,1000
267,1782476962121963300,355423,0.5,1003.9,53.4,1000
268,1782476962123338300,356842,1.3,1418.6,472,1375
269,1782476962124463300,357909,1.1,1067.6,539.6,1125
270,1782476962125213300,358681,0.7,771.5,311.1,750
271,1782476962126213300,359650,1,969.1,280.2,1000
272,1782476962127213300,360696,0.4,1045.9,326.1,1000
273,1782476962127963300,361437,0.6,741,67.1,750
274,1782476962128838300,362370,0.7,932.9,0,875
275,1782476962129838300,363370,0.5,1000,0,1000
276,1782476962130838300,364370,1.3,1000,0,1000
